JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555652,250,15,FFTW,3,0.5608093949964128,8.213166396953062e-05,24.730049767349502,3.589038158784723,,54,108,197.3392,190.5149,178.5926
1555552,250,15,GPFA,1,0.5608093949964124,8.208516431043273e-05,24.730049766981782,3.589038158731356,,54,108,394.2052,387.7188,375.602
1555698,250,15,GPFA,2,0.5608093949964124,8.208516431043273e-05,24.730049766981782,3.589038158731356,,54,108,396.3764,389.8423,376.5831
1555772,250,15,GPFA,3,0.5608093949964124,8.208516431043273e-05,24.730049766981782,3.589038158731356,,54,108,390.5285,384.069,372.2003
1555755,250,25,FFTW,1,0.560809394995076,7.863197351530979e-05,24.730049767128264,3.5890381587526146,,54,108,119.2483,115.0376,108.653
1555705,250,25,FFTW,2,0.560809394995076,7.865954571483353e-05,24.730049767246015,3.589038158769704,,54,108,119.7154,115.5515,108.3728
1555735,250,25,FFTW,3,0.560809394995076,7.858530283078852e-05,24.73004976718488,3.589038158760831,,54,108,119.2573,115.0742,108.1053
1555754,250,25,GPFA,1,0.5608093949950758,7.882198946248339e-05,24.73004976725895,3.5890381587715807,,54,108,237.5183,233.7343,225.8362
1555648,250,25,GPFA,2,0.5608093949950758,7.882198946248339e-05,24.73004976725895,3.5890381587715807,,54,108,236.9126,233.1064,225.0993
1555781,250,25,GPFA,3,0.5608093949950758,7.882198946248339e-05,24.73004976725895,3.5890381587715807,,54,108,237.6144,233.8262,226.0958
1555551,250,50,FFTW,1,0.5608093949957996,8.87065106540421e-05,24.730049767168364,3.5890381587584343,,54,108,97.4292,94.0605,89.4661
1555542,250,50,FFTW,2,0.5608093949957995,8.88892644085465e-05,24.73004976717924,3.589038158760012,,54,108,97.3642,94.0268,89.5269
1555618,250,50,FFTW,3,0.5608093949957995,8.864164772926307e-05,24.730049767137366,3.589038158753936,,54,108,97.6958,94.3192,89.7628
1555538,250,50,GPFA,1,0.5608093949957995,8.91762299484934e-05,24.730049767148525,3.589038158755555,,54,108,186.9664,183.9413,179.3226
1555612,250,50,GPFA,2,0.5608093949957995,8.91762299484934e-05,24.730049767148525,3.589038158755555,,54,108,186.3724,183.3626,178.5777
1555703,250,50,GPFA,3,0.5608093949957995,8.91762299484934e-05,24.730049767148525,3.589038158755555,,54,108,187.4085,184.4031,179.9171
1555684,250,125,FFTW,1,0.5608093949957995,8.561784352802235e-05,24.730049767176656,3.5890381587596374,,54,108,40.4045,38.5989,36.3894
1555622,250,125,FFTW,2,0.5608093949957995,8.754483703513005e-05,24.730049767174947,3.5890381587593896,,54,108,40.552,38.7577,36.7275
1555537,250,125,FFTW,3,0.5608093949957995,8.487930145377652e-05,24.730049767185697,3.5890381587609497,,54,108,40.4782,38.6785,36.4907
1555664,250,125,GPFA,1,0.5608093949957994,8.523603622095734e-05,24.73004976716594,3.589038158758082,,54,108,78.0161,76.4344,74.1684
1555671,250,125,GPFA,2,0.5608093949957994,8.523603622095734e-05,24.73004976716594,3.589038158758082,,54,108,78.1807,76.575,74.3294
1555770,250,125,GPFA,3,0.5608093949957994,8.523603622095734e-05,24.73004976716594,3.589038158758082,,54,108,78.1575,76.6023,74.3121
1555628,250,250,FFTW,1,0.5608093949958013,8.484800271818281e-05,24.730049767163884,3.589038158757784,,54,108,23.6482,20.656,19.7735
1555611,250,250,FFTW,2,0.5608093949958013,8.685455269204729e-05,24.73004976717341,3.589038158759166,,54,108,24.2763,20.564,19.6781
1555577,250,250,FFTW,3,0.5608093949958013,8.55759863485387e-05,24.730049767170097,3.5890381587586857,,54,108,23.7612,20.5661,19.6575
1555744,250,250,GPFA,1,0.5608093949958011,8.639365788042601e-05,24.73004976717089,3.5890381587588003,,54,108,41.7442,39.4253,38.4468
1555533,250,250,GPFA,2,0.5608093949958011,8.639365788042601e-05,24.73004976717089,3.5890381587588003,,54,108,40.8566,38.4826,37.5235
1555700,250,250,GPFA,3,0.5608093949958011,8.639365788042601e-05,24.73004976717089,3.5890381587588003,,54,108,41.2741,38.9623,38.0065
